   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
3854/3693    0.026    0.000    0.029    0.000 {built-in method __new__ of type object at 0x100d71608}
   130335    0.023    0.000    0.023    0.000 {method 'startswith' of 'str' objects}
   123772    0.023    0.000    0.023    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/type_check.py:166(imag)
    16878    0.020    0.000    0.020    0.000 {built-in method numpy.arange}
    11252    0.019    0.000    0.032    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/librosa/core/convert.py:82(frames_to_samples)
        1    0.019    0.019    0.019    0.019 {built-in method _ctypes.dlopen}
     1944    0.018    0.000    0.018    0.000 {built-in method posix.stat}
    78040    0.018    0.000    0.022    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/inspect.py:283(ismodule)
74131/57049    0.018    0.000    0.064    0.000 {built-in method builtins.next}
100000/99793    0.018    0.000    0.033    0.000 {built-in method builtins.hasattr}
   127939    0.016    0.000    0.018    0.000 {built-in method builtins.issubclass}
    40007    0.016    0.000    0.016    0.000 {method 'copy' of 'numpy.ndarray' objects}
     2813    0.016    0.000    0.022    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/function_base.py:5563(append)
    33756    0.016    0.000    0.049    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/fromnumeric.py:588(transpose)
     5626    0.015    0.000    0.032    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/arraypad.py:458(_as_pairs)
        1    0.015    0.015    0.040    0.040 /Users/fcucchietti/Code/ICHOIR/vocal-tract-grad/gfm.py:450(shifts_to_freqs)
    33756    0.015    0.000    0.036    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/shape_base.py:370(<genexpr>)
    33756    0.014    0.000    0.021    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/index_tricks.py:690(__next__)
     5626    0.014    0.000    0.230    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/scipy/signal/windows/_windows.py:2261(get_window)
    16878    0.014    0.000    0.240    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/scipy/signal/_signaltools.py:2127(<lambda>)
     3521    0.013    0.000    0.013    0.000 {built-in method posix.lstat}
   123772    0.012    0.000    0.012    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/type_check.py:162(_imag_dispatcher)
