   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.000    0.000    0.029    0.001 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/binding/executionengine.py:94(finalize_object)
      107    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/ir.py:1312(append)
        1    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/joblib/externals/cloudpickle/cloudpickle.py:1(<module>)
       98    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/builder.py:264(goto_block)
        1    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/pycparser/c_lexer.py:15(CLexer)
        3    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/interpreter.py:1443(_end_try_blocks)
       52    0.000    0.000    0.001    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/binding/passmanagers.py:744(initialize)
      261    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
       33    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/functools.py:841(_is_union_type)
        3    0.000    0.000    0.004    0.001 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/interpreter.py:1438(post_process)
        4    0.000    0.000    0.081    0.020 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/np/ufunc/ufuncbuilder.py:196(_build_element_wise_ufunc_wrapper)
       29    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/caching.py:451(__init__)
      190    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/pathlib.py:94(join_parsed_parts)
  133/121    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/typing.py:1394(__hash__)
        1    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/dispatcher.py:170(CompilingCounter)
      207    0.000    0.000    0.000    0.000 {built-in method numba.core.typeconv._typeconv.set_compatible}
      115    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/byteflow.py:1647(__hash__)
       52    0.000    0.000    0.001    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/values.py:943(<listcomp>)
       46    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/re/_parser.py:231(__init__)
      250    0.000    0.000    0.021    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/binding/ffi.py:127(_lib)
      211    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/types/abstract.py:28(_on_type_disposal)
      323    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typing/templates.py:45(return_type)
        1    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/types/functions.py:240(BaseFunction)
      191    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/inspect.py:300(ismethod)
       29    0.000    0.000    0.005    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/tempfile.py:665(opener)
        6    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/controlflow.py:579(_find_back_edges)
       41    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/ir.py:377(__init__)
      110    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/datamodel/manager.py:23(register)
       29    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/caching.py:215(__init__)
      210    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/re/_parser.py:83(groups)
      364    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
       60    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/ir.py:1209(redefine)
       99    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typing/templates.py:78(__setstate__)
        3    0.000    0.000    0.020    0.007 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/stencils/stencil.py:822(decorated)
        3    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/analysis.py:190(compute_live_variables)
       44    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/instructions.py:422(descr)
       38    0.000    0.000    0.004    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/decorators.py:239(njit)
       16    0.000    0.000    0.053    0.003 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/np/ufunc/wrappers.py:453(build)
      294    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typing/templates.py:49(args)
       65    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      152    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/typing.py:1687(__eq__)
       18    0.000    0.000    0.001    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/typing.py:1586(__getitem__)
        3    0.000    0.000    0.002    0.001 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typing/npydecl.py:189(install_operations)
      222    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typing/templates.py:1268(Template)
       10    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/dataclasses.py:723(_get_field)
       42    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/codegen.py:1040(resolve)
       20    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/re/_compiler.py:386(_mk_bitmap)
       61    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/typing.py:1310(__getattr__)
       56    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/module.py:215(_get_metadata_lines)
      102    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/bytecode.py:139(__repr__)
      178    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/controlflow.py:126(predecessors)
        4    0.000    0.000    0.025    0.006 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/np/ufunc/gufunc.py:67(__init__)
       76    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/imputils.py:55(decorate)
        1    0.000    0.000    0.006    0.006 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/np/random/generator_methods.py:1(<module>)
       60    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/targetconfig.py:69(__init__)
       38    0.000    0.000    0.001    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/codegen.py:1332(_get_host_cpu_name)
        1    0.000    0.000    0.030    0.030 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/yaml/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/cpython/numbers.py:550(_implement_integer_operators)
      131    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/ir.py:384(__getattr__)
      138    0.000    0.000    0.001    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/typing.py:715(<genexpr>)
       21    0.000    0.000    0.061    0.003 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/caching.py:391(rebuild)
       24    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/np/ufunc/sigparse.py:20(parse)
       33    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/builder.py:738(alloca)
        5    0.000    0.000    0.044    0.009 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/codegen.py:739(finalize)
        1    0.000    0.000    0.015    0.015 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/joblib/externals/loky/process_executor.py:1(<module>)
       16    0.000    0.000    0.005    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/np/ufunc/wrappers.py:294(__init__)
      314    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        8    0.000    0.000    0.000    0.000 {built-in method numba.np.ufunc._internal.fromfunc}
       34    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/dis.py:639(findlinestarts)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x1021013a0}
        1    0.000    0.000    0.001    0.001 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/untyped_passes.py:1(<module>)
       16    0.000    0.000    0.001    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/base.py:431(insert_const_string)
       37    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/re/_compiler.py:467(_get_charset_prefix)
        3    0.000    0.000    0.020    0.007 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/compiler.py:299(run_frontend)
        3    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/colorama/ansi.py:26(__init__)
      186    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/inspect.py:480(iscode)
        1    0.000    0.000    0.038    0.038 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typing/typeof.py:1(<module>)
       15    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/byteflow.py:1882(get_outgoing_states)
       24    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/instructions.py:711(descr)
       48    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/controlflow.py:368(_add_edge)
       80    0.000    0.000    0.001    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/pythonapi.py:1304(_get_function)
        1    0.000    0.000    0.004    0.004 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/experimental/jitclass/overloads.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/codegen.py:1173(_init)
        4    0.000    0.000    0.094    0.023 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/np/ufunc/dufunc.py:320(_compile_for_argtys)
       13    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/typing.py:1040(__init__)
      207    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/byteflow.py:52(__init__)
      121    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/extending.py:370(__repr__)
       17    0.000    0.000    0.005    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typing/templates.py:1051(_init_once)
      310    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/importlib/metadata/__init__.py:256(<genexpr>)
       15    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/interpreter.py:1538(_start_new_block)
        5    0.000    0.000    0.024    0.005 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/codegen.py:723(add_ir_module)
       52    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/values.py:890(__init__)
       75    0.000    0.000    0.027    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/re/__init__.py:225(compile)
       82    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/weakref.py:352(__init__)
        1    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/types/containers.py:206(_HomogeneousTuple)
      207    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/bytecode.py:392(find_exception_entry)
      273    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/typing.py:1381(<genexpr>)
        1    0.000    0.000    0.001    0.001 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/config.py:151(update)
        1    0.000    0.000    0.007    0.007 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/__init__.py:1(<module>)
      188    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        3    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/bytecode.py:288(_compute_lineno)
      335    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/inspect.py:2722(name)
       52    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/values.py:1137(__str__)
        5    0.000    0.000    0.001    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/codegen.py:1248(_function_pass_manager)
        1    0.000    0.000    0.019    0.019 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/np/npyimpl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typed_passes.py:1(<module>)
       37    0.000    0.000    0.096    0.003 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/codegen.py:1157(unserialize_library)
       45    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/dispatcher.py:676(__repr__)
        5    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/types.py:432(<listcomp>)
       20    0.000    0.000    0.002    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/options.py:30(parse_as_flags)
        1    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/errors.py:889(<listcomp>)
      332    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/binding/module.py:229(__iter__)
      103    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/types.py:170(__init__)
        1    0.000    0.000    0.036    0.036 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/np/numpy_support.py:1(<module>)
       24    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/instructions.py:693(__init__)
      155    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/controlflow.py:118(successors)
        1    0.000    0.000    0.005    0.005 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/errors.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typing/npdatetime.py:1(<module>)
      103    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/interpreter.py:82(get_assignment_source)
       18    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/values.py:70(wrapped)
      107    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/datamodel/registry.py:9(wraps)
       39    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/enum.py:772(__getattr__)
      250    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/binding/ffi.py:170(__init__)
       24    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/builder.py:977(insert_value)
       21    0.000    0.000    0.001    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/funcdesc.py:117(llvm_cpython_wrapper_name)
        1    0.000    0.000    0.002    0.002 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typing/mathdecl.py:1(<module>)
        1    0.000    0.000    0.007    0.007 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/psutil/_psosx.py:1(<module>)
       76    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/imputils.py:144(_decorate_getattr)
       18    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/bytecode.py:97(get_jump_target)
        1    0.000    0.000    0.007    0.007 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/typed/typedlist.py:1(<module>)
        1    0.000    0.000    0.021    0.021 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/binding/ffi.py:112(_load_lib)
       98    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/binding/ffi.py:287(__bool__)
       82    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/enum.py:193(__get__)
        1    0.000    0.000    0.067    0.067 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/compiler.py:1(<module>)
       32    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/types/abstract.py:192(_determine_array_spec)
       21    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/binding/executionengine.py:65(get_function_address)
       77    0.000    0.000    0.000    0.000 <frozen os>:756(encode)
       18    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/cgutils.py:44(make_bytearray)
       92    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/re/_compiler.py:570(isstring)
      208    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/misc/llvm_pass_timings.py:292(record)
       82    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/weakref.py:347(__new__)
        1    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/builder.py:189(IRBuilder)
        3    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/byteflow.py:205(_build_cfg)
       52    0.000    0.000    0.014    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/values.py:1006(descr)
        7    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/cpython/setobj.py:117(_SetPayload)
       38    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/inspect.py:1651(_get_code_position)
       17    0.000    0.000    0.001    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/extending.py:190(decorate)
       28    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/types/scalars.py:18(parse_integer_bitwidth)
        8    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/logging/__init__.py:1378(_fixupParents)
        4    0.000    0.000    0.001    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/np/ufunc/sigparse.py:5(parse_signature)
        4    0.000    0.000    0.001    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/misc/quicksort.py:27(make_quicksort_impl)
      118    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/byteflow.py:385(op_CACHE)
       33    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/instructions.py:515(__init__)
        1    0.000    0.000    0.007    0.007 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/importlib/metadata/__init__.py:1(<module>)
      364    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
       29    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/tempfile.py:86(_infer_return_type)
        1    0.000    0.000    0.010    0.010 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/joblib/memory.py:1(<module>)
        3    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/bytecode.py:549(from_function)
      254    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      313    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/ir.py:1112(__str__)
       84    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typing/templates.py:1310(<genexpr>)
        1    0.000    0.000    0.012    0.012 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/dispatcher.py:859(compile)
       12    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/interpreter.py:2763(_binop)
      9/4    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/typing.py:1464(_make_substitution)
        3    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/controlflow.py:558(_find_post_dominators)
       40    0.000    0.000    0.001    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/np/ufunc/ufuncbuilder.py:133(store_overloads_on_success)
       80    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/config.py:206(_readenv)
       21    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/itanium_mangler.py:63(_escape_string)
        7    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/textwrap.py:419(dedent)
       29    0.000    0.000    0.002    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/binding/module.py:76(_dispose)
      123    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/ir.py:389(__setattr__)
       28    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/types/scalars.py:32(__init__)
      121    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/ir.py:1115(is_temp)
       29    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/tempfile.py:115(_sanitize_params)
        1    0.000    0.000    0.073    0.073 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/dispatcher.py:1(<module>)
       19    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/byteflow.py:1604(__init__)
       38    0.000    0.000    0.003    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/linecache.py:36(getlines)
       37    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/caching.py:546(_data_path)
       88    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/typing_extensions.py:2976(_is_unpacked_typevartuple)
       80    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/ir.py:1179(get)
       10    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/values.py:672(descr)
        5    0.000    0.000    0.002    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/tokenize.py:392(open)
      160    0.000    0.000    0.000    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/targetconfig.py:252(_guard_option)
